name,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
lang\ArrayUtils.java\org.apache.commons.lang.ArrayUtils,1576,479,5,269,0.985344828,0,0,13,1,4,0.011577302,0,0,0.027083333,0.166666667,0.014814815,0.005831381,0,0,1539,1576,41,4,70,111,0.026015228,0.002538071,0.044416244,0.070431472,0
lang\BitField.java\org.apache.commons.lang.BitField,67,23,0,18,0.764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,0,0,0,0,0,0,0
lang\BooleanUtils.java\org.apache.commons.lang.BooleanUtils,283,116,2,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,283,1,0,0,1,0.003533569,0,0,0.003533569,0
lang\CharEncoding.java\org.apache.commons.lang.CharEncoding,19,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0
lang\CharRange.java\org.apache.commons.lang.CharRange,85,23,0,12,0.709090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,0,0,0,0,0,0,0,0,0
lang\CharSet.java\org.apache.commons.lang.CharSet,88,20,1,12,1.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,88,0,0,0,0,0,0,0,0,0
lang\CharSetUtils.java\org.apache.commons.lang.CharSetUtils,132,34,3,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,132,1,0,0,1,0.007575758,0,0,0.007575758,0
lang\CharUtils.java\org.apache.commons.lang.CharUtils,144,39,1,24,1.027272727,0,0,0,0,0,0.012121212,0,0,0,0,0,0.005979073,0,0,144,144,6,6,0,6,0.041666667,0.041666667,0,0.041666667,0
lang\ClassUtils.java\org.apache.commons.lang.ClassUtils,316,81,3,87,0.992063492,0,0,17,1,70,0.007936508,0,0,0.207317073,0.25,0.795454545,0.003984064,0,0,234,316,82,0,14,96,0.259493671,0,0.044303797,0.303797468,0
lang\Entities.java\org.apache.commons.lang.Entities,624,39,2,9,1.03125,0,0,19,0,2,0.010416667,0,0,0.475,0,0.2,0.005128205,0,0,535,624,89,0,8,97,0.142628205,0,0.012820513,0.155448718,1
lang\enum\Enum.java\org.apache.commons.lang.Enum,161,42,4,19,0.933333333,0,1,4,0,1,0.004761905,0,0,0.093023256,0,0.05,0.002463054,0,0,149,161,17,5,6,23,0.105590062,0.031055901,0.037267081,0.142857143,0
lang\enum\EnumUtils.java\org.apache.commons.lang.EnumUtils,20,6,2,12,1,0,0,0,0,1,0,0,0,0,0,0.076923077,0,0,0,19,20,1,0,0,1,0.05,0,0,0.05,0
lang\IllegalClassException.java\org.apache.commons.lang.IllegalClassException,23,6,0,4,1.333333333,1,0,0,0,0,1.333333333,0,0,0,0,0,0.571428571,0,0,22,23,1,0,0,1,0.043478261,0,0,0.043478261,0
lang\IncompleteArgumentException.java\org.apache.commons.lang.IncompleteArgumentException,15,4,0,3,1.5,1,0,0,0,0,1.5,0,0,0,0,0,0.6,0,0,14,15,1,0,0,1,0.066666667,0,0,0.066666667,0
lang\IntHashMap.java\org.apache.commons.lang.IntHashMap,148,33,1,14,0.708333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,148,0,0,0,0,0,0,0,0,0
lang\NotImplementedException.java\org.apache.commons.lang.NotImplementedException,72,24,1,39,0.779411765,1,0,0,0,1,0.132352941,0,0,0,0,0.025,0.074380165,0,0,73,72,3,4,5,8,0.041666667,0.055555556,0.069444444,0.111111111,0
lang\NullArgumentException.java\org.apache.commons.lang.NullArgumentException,6,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1,0,0,1,0.166666667,0,0,0.166666667,0
lang\NumberRange.java\org.apache.commons.lang.NumberRange,88,21,0,10,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,88,0,0,0,0,0,0,0,0,0
lang\NumberUtils.java\org.apache.commons.lang.NumberUtils,328,94,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,328,1,1,2,3,0.00304878,0.00304878,0.006097561,0.009146341,0
lang\ObjectUtils.java\org.apache.commons.lang.ObjectUtils,70,25,1,10,1.111111111,0,0,8,0,2,0.031746032,0,0,0.307692308,0,0.181818182,0.015037594,0,0,52,70,18,0,0,18,0.257142857,0,0,0.257142857,0
lang\RandomStringUtils.java\org.apache.commons.lang.RandomStringUtils,97,26,0,12,0.727272727,0,0,5,0,0,0,0,0,0.185185185,0,0,0,0,0,76,97,22,1,5,27,0.226804124,0.010309278,0.051546392,0.278350515,0
lang\SerializationException.java\org.apache.commons.lang.SerializationException,15,4,0,42,1.333333333,2,0,0,0,1,1.333333333,0,0,0,0,0.023255814,0.571428571,0,0,14,15,1,0,0,1,0.066666667,0,0,0.066666667,0
lang\SerializationUtils.java\org.apache.commons.lang.SerializationUtils,60,16,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0
lang\StringEscapeUtils.java\org.apache.commons.lang.StringEscapeUtils,277,75,3,31,1,0,0,14,1,4,0,0,0,0.184210526,0.25,0.125,0,0,0,226,277,51,0,6,57,0.184115523,0,0.02166065,0.205776173,0
lang\StringUtils.java\org.apache.commons.lang.StringUtils,1528,461,6,160,0.934306569,0,0,12,1,4,0.020580649,0,0,0.025974026,0.142857143,0.02484472,0.010639807,0,0,1497,1528,80,49,48,128,0.052356021,0.032068063,0.031413613,0.083769634,0
lang\SystemUtils.java\org.apache.commons.lang.SystemUtils,178,30,0,16,1.052968037,0,0,2,0,0,0.000190259,0,0,0.064516129,0,0,9.27E-05,0,0,167,177,10,0,4,14,0.056497175,0,0.02259887,0.079096045,0
lang\UnhandledException.java\org.apache.commons.lang.UnhandledException,9,2,0,40,2,2,0,0,0,1,2,0,0,0,0,0.024390244,0.666666667,0,0,8,9,1,0,0,1,0.111111111,0,0,0.111111111,0
lang\Validate.java\org.apache.commons.lang.Validate,133,49,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,133,1,0,0,1,0.007518797,0,0,0.007518797,0
lang\enum\ValuedEnum.java\org.apache.commons.lang.ValuedEnum,34,9,1,22,0.875,1,0,5,1,2,0.625,0,0,0.5,0.5,0.086956522,0.333333333,0,0,20,34,14,0,3,17,0.411764706,0,0.088235294,0.5,0
lang\WordUtils.java\org.apache.commons.lang.WordUtils,179,47,1,13,1,0,0,6,0,3,0,0,0,0.125,0,0.214285714,0,0,0,168,179,41,30,5,46,0.229050279,0.167597765,0.027932961,0.25698324,0
lang\builder\CompareToBuilder.java\org.apache.commons.lang.builder.CompareToBuilder,411,136,2,33,0.275862069,0,0,4,1,4,0.083554377,0,0,0.02919708,0.333333333,0.117647059,0.065488565,0,0,392,411,19,0,7,26,0.04622871,0,0.01703163,0.063260341,0
lang\builder\EqualsBuilder.java\org.apache.commons.lang.builder.EqualsBuilder,365,108,1,30,0.25,0,0,4,1,4,0.09,0,0,0.036697248,0.5,0.129032258,0.072,0,0,352,365,13,0,6,19,0.035616438,0,0.016438356,0.052054795,0
