name,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
lang3\AnnotationUtils.java\org.apache.commons.lang3.AnnotationUtils,211,54,3,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,211,1,0,28,29,0.004739336,0,0.132701422,0.137440758,0
lang3\ArrayUtils.java\org.apache.commons.lang3.ArrayUtils,2055,605,6,321,0.984459459,0,0,2,0,0,0,0,0,0.00330033,0,0,0,0,0,2035,2055,20,0,381,401,0.00973236,0,0.18540146,0.19513382,0
lang3\BitField.java\org.apache.commons.lang3.BitField,67,23,0,18,0.764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,18,18,0,0,0.268656716,0.268656716,0
lang3\BooleanUtils.java\org.apache.commons.lang3.BooleanUtils,363,128,2,40,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,363,0,0,67,67,0,0,0.184573003,0.184573003,0
lang3\CharEncoding.java\org.apache.commons.lang3.CharEncoding,18,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,2,2,0,0,0.111111111,0.111111111,0
lang3\CharRange.java\org.apache.commons.lang3.CharRange,150,25,1,15,0.753846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,150,4,0,13,17,0.026666667,0,0.086666667,0.113333333,0
lang3\CharSequenceUtils.java\org.apache.commons.lang3.CharSequenceUtils,86,25,0,8,,0,0,4,0,0,0,0,0,0.153846154,0,0,0,0,0,69,86,17,0,14,31,0.197674419,0,0.162790698,0.360465116,0
lang3\CharSet.java\org.apache.commons.lang3.CharSet,91,21,1,14,1.017857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,91,0,0,11,11,0,0,0.120879121,0.120879121,0
lang3\CharSetUtils.java\org.apache.commons.lang3.CharSetUtils,87,25,2,20,,0,0,4,0,1,0,0,0,0.153846154,0,0.047619048,0,0,0,75,87,12,0,19,31,0.137931034,0,0.218390805,0.356321839,0
lang3\CharUtils.java\org.apache.commons.lang3.CharUtils,123,38,1,24,1.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,0,0,22,22,0,0,0.178861789,0.178861789,0
