name,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
math\ConvergenceException.java\org.apache.commons.math.ConvergenceException,21,6,0,21,1.2,2,1,2,0,9,0.133333333,0,1,0.285714286,0,0.409090909,0.060606061,0,0.5,15,21,6,0,9,15,0.285714286,0,0.428571429,0.714285714,0
math\FunctionEvaluationException.java\org.apache.commons.math.FunctionEvaluationException,36,7,0,22,0.583333333,2,1,3,0,10,0.416666667,0,1,0.375,0,0.434782609,0.263157895,0,0.5,18,36,18,0,6,24,0.5,0,0.166666667,0.666666667,0
math\MathConfigurationException.java\org.apache.commons.math.MathConfigurationException,21,6,0,21,1.2,2,0,2,0,9,0.133333333,0,0,0.285714286,0,0.409090909,0.060606061,0,0,17,21,6,2,9,15,0.285714286,0.095238095,0.428571429,0.714285714,0
math\MathException.java\org.apache.commons.math.MathException,103,21,0,15,0.806122449,1,12,11,0,7,0.086734694,0,9,0.5,0,0.4375,0.048022599,0,0.692307692,53,103,50,0,1,51,0.485436893,0,0.009708738,0.495145631,0
math\analysis\BisectionSolver.java\org.apache.commons.math.analysis.BisectionSolver,36,6,4,27,1.5,1,0,0,0,1,0,0,0,0,0,0.035714286,0,0,0,37,36,0,1,4,4,0,0.027777778,0.111111111,0.111111111,0
math\analysis\BrentSolver.java\org.apache.commons.math.analysis.BrentSolver,128,23,3,27,1.333333333,1,0,7,0,2,0.166666667,0,0,0.291666667,0,0.071428571,0.071428571,0,0,102,128,30,4,11,41,0.234375,0.03125,0.0859375,0.3203125,0
math\analysis\NewtonSolver.java\org.apache.commons.math.analysis.NewtonSolver,35,6,5,28,0.833333333,1,0,0,0,1,0,0,0,0,0,0.034482759,0,0,0,36,35,0,1,4,4,0,0.028571429,0.114285714,0.114285714,0
math\analysis\PolynomialFunction.java\org.apache.commons.math.analysis.PolynomialFunction,54,14,0,8,0.785714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,0,0,0,0,0,0,0,0,0
math\analysis\PolynomialSplineFunction.java\org.apache.commons.math.analysis.PolynomialSplineFunction,70,17,2,14,0.642857143,0,0,0,0,2,0,0,0,0,0,0.133333333,0,0,0,70,70,0,0,3,3,0,0,0.042857143,0.042857143,0
math\analysis\SecantSolver.java\org.apache.commons.math.analysis.SecantSolver,68,11,3,26,1.5,1,0,0,0,1,0,0,0,0,0,0.037037037,0,0,0,68,68,0,0,3,3,0,0,0.044117647,0.044117647,0
math\analysis\SplineInterpolator.java\org.apache.commons.math.analysis.SplineInterpolator,52,9,3,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,0,0
math\analysis\UnivariateRealSolverFactory.java\org.apache.commons.math.analysis.UnivariateRealSolverFactory,26,8,4,8,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0
math\analysis\UnivariateRealSolverFactoryImpl.java\org.apache.commons.math.analysis.UnivariateRealSolverFactoryImpl,20,6,7,13,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0
math\analysis\UnivariateRealSolverImpl.java\org.apache.commons.math.analysis.UnivariateRealSolverImpl,125,28,2,22,0.926739927,0,7,0,0,0,0,0,3,0,0,0,0,0,0.375,125,125,0,0,0,0,0,0,0,0,0
math\analysis\UnivariateRealSolverUtils.java\org.apache.commons.math.analysis.UnivariateRealSolverUtils,74,14,5,10,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,74,0,1,4,4,0,0.013513514,0.054054054,0.054054054,0
math\complex\Complex.java\org.apache.commons.math.complex.Complex,246,64,1,33,0.704081633,0,0,30,0,18,0.021193093,0,0,0.461538462,0,0.529411765,0.012436665,0,0,138,246,108,0,9,117,0.43902439,0,0.036585366,0.475609756,0
math\complex\ComplexFormat.java\org.apache.commons.math.complex.ComplexFormat,231,51,1,31,0.97037037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,231,231,0,0,2,2,0,0,0.008658009,0.008658009,0
math\complex\ComplexUtils.java\org.apache.commons.math.complex.ComplexUtils,54,17,1,45,,0,0,13,1,15,0,0,0,0.722222222,0.5,0.326086957,0,0,0,123,54,0,69,14,14,0,1.277777778,0.259259259,0.259259259,0
math\distribution\AbstractContinuousDistribution.java\org.apache.commons.math.distribution.AbstractContinuousDistribution,46,9,4,14,1.25,1,8,0,0,0,0,0,0,0,0,0,0,0,0,47,46,0,1,1,1,0,0.02173913,0.02173913,0.02173913,0
math\distribution\AbstractDistribution.java\org.apache.commons.math.distribution.AbstractDistribution,15,3,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0
math\distribution\AbstractIntegerDistribution.java\org.apache.commons.math.distribution.AbstractIntegerDistribution,60,16,1,10,1.142857143,1,4,0,0,0,0,0,1,0,0,0,0,0,0.2,60,60,0,0,0,0,0,0,0,0,0
math\distribution\BinomialDistributionImpl.java\org.apache.commons.math.distribution.BinomialDistributionImpl,73,17,3,34,0.962962963,2,0,0,0,5,0,0,0,0,0,0.142857143,0,0,0,73,73,0,0,0,0,0,0,0,0,0
math\distribution\CauchyDistributionImpl.java\org.apache.commons.math.distribution.CauchyDistributionImpl,76,19,0,25,0.833333333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,76,76,0,0,0,0,0,0,0,0,0
math\distribution\ChiSquaredDistributionImpl.java\org.apache.commons.math.distribution.ChiSquaredDistributionImpl,60,15,3,28,1,2,0,1,0,0,0,0,0,0.0625,0,0,0,0,0,57,60,3,0,5,8,0.05,0,0.083333333,0.133333333,0
math\distribution\DistributionFactory.java\org.apache.commons.math.distribution.DistributionFactory,41,15,16,28,,0,1,0,2,5,0,0,0,0,0.117647059,0.172413793,0,0,0,46,41,4,9,1,5,0.097560976,0.219512195,0.024390244,0.12195122,0
math\distribution\DistributionFactoryImpl.java\org.apache.commons.math.distribution.DistributionFactoryImpl,44,11,18,58,,1,0,0,0,8,0,0,0,0,0,0.13559322,0,0,0,44,44,0,0,0,0,0,0,0,0,0
math\distribution\ExponentialDistributionImpl.java\org.apache.commons.math.distribution.ExponentialDistributionImpl,56,14,1,22,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,0,0,0,0,0,0,0,0,0
math\distribution\FDistributionImpl.java\org.apache.commons.math.distribution.FDistributionImpl,66,15,2,36,0.962962963,2,0,0,0,5,0,0,0,0,0,0.135135135,0,0,0,66,66,0,0,0,0,0,0,0,0,0
math\distribution\GammaDistributionImpl.java\org.apache.commons.math.distribution.GammaDistributionImpl,69,17,2,37,0.962962963,2,0,0,0,6,0,0,0,0,0,0.157894737,0,0,0,69,69,0,0,0,0,0,0,0,0,0
math\distribution\HypergeometricDistributionImpl.java\org.apache.commons.math.distribution.HypergeometricDistributionImpl,131,28,1,28,0.96875,2,0,0,0,0,0,0,0,0,0,0,0,0,0,131,131,0,0,0,0,0,0,0,0,0
math\distribution\NormalDistributionImpl.java\org.apache.commons.math.distribution.NormalDistributionImpl,73,18,2,38,0.9,2,0,0,0,6,0,0,0,0,0,0.153846154,0,0,0,73,73,0,0,1,1,0,0,0.01369863,0.01369863,1
math\distribution\PoissonDistributionImpl.java\org.apache.commons.math.distribution.PoissonDistributionImpl,54,14,5,39,0.851851852,2,0,2,0,9,0.005291005,0,0,0.133333333,0,0.225,0.002857143,0,0,48,55,10,3,0,10,0.181818182,0.054545455,0,0.181818182,0
math\distribution\TDistributionImpl.java\org.apache.commons.math.distribution.TDistributionImpl,56,13,2,34,1,2,0,0,0,5,0,0,0,0,0,0.142857143,0,0,0,56,56,0,0,0,0,0,0,0,0,0
math\distribution\WeibullDistributionImpl.java\org.apache.commons.math.distribution.WeibullDistributionImpl,63,16,0,24,0.962962963,2,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,0,0,0,0,0,0,0,0,0
math\fraction\Fraction.java\org.apache.commons.math.fraction.Fraction,237,57,2,32,0.819047619,1,0,0,0,6,0,0,0,0,0,0.181818182,0,0,0,238,237,0,1,4,4,0,0.004219409,0.016877637,0.016877637,0
math\fraction\FractionFormat.java\org.apache.commons.math.fraction.FractionFormat,159,35,3,38,0.952380952,1,1,0,0,6,0,0,0,0,0,0.153846154,0,0,0,159,159,0,0,0,0,0,0,0,0,0
math\fraction\ProperFractionFormat.java\org.apache.commons.math.fraction.ProperFractionFormat,87,15,2,43,1,2,0,0,0,6,0,0,0,0,0,0.136363636,0,0,0,87,87,0,0,0,0,0,0,0,0,1
math\linear\BigMatrixImpl.java\org.apache.commons.math.linear.BigMatrixImpl,660,176,3,61,0.903508772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,660,0,0,0,0,0,0,0,0,0
math\linear\InvalidMatrixException.java\org.apache.commons.math.linear.InvalidMatrixException,9,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0
math\linear\MatrixIndexException.java\org.apache.commons.math.linear.MatrixIndexException,9,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0
math\linear\MatrixUtils.java\org.apache.commons.math.linear.MatrixUtils,93,25,4,34,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,0,0,0,0,0,0,0,0,0
math\linear\RealMatrixImpl.java\org.apache.commons.math.linear.RealMatrixImpl,533,141,4,48,0.864341085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,533,0,0,0,0,0,0,0,0,0
math\random\AbstractRandomGenerator.java\org.apache.commons.math.random.AbstractRandomGenerator,65,20,0,11,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,0,0,0,0,0,0,0,0,0
math\random\EmpiricalDistributionImpl.java\org.apache.commons.math.random.EmpiricalDistributionImpl,223,31,8,31,0.833333333,0,0,0,0,2,0,0,0,0,0,0.0625,0,0,0,223,223,0,0,0,0,0,0,0,0,0
math\random\JDKRandomGenerator.java\org.apache.commons.math.random.JDKRandomGenerator,3,0,0,0,undef,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,1,0.333333333,0,0,0.333333333,0
math\random\RandomAdaptor.java\org.apache.commons.math.random.RandomAdaptor,40,13,0,12,0.636363636,1,0,0,0,0,0.454545455,0,0,0,0,0,0.277777778,0,0,39,40,1,0,0,1,0.025,0,0,0.025,0
math\random\RandomDataImpl.java\org.apache.commons.math.random.RandomDataImpl,241,58,2,23,0.924242424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,241,2,0,3,5,0.008298755,0,0.012448133,0.020746888,0
math\random\ValueServer.java\org.apache.commons.math.random.ValueServer,130,38,5,26,0.919732441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,0,0,1,1,0,0,0.007692308,0.007692308,0
