name,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
math\ArgumentOutsideDomainException.java\org.apache.commons.math.ArgumentOutsideDomainException,7,1,0,23,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,1,1,1,0,0.142857143,0.142857143,0.142857143,0
math\ConvergenceException.java\org.apache.commons.math.ConvergenceException,15,4,0,16,1.333333333,2,4,2,0,5,0.133333333,0,3,0.4,0,0.294117647,0.057142857,0,0.6,21,15,0,6,5,5,0,0.4,0.333333333,0.333333333,0
math\DimensionMismatchException.java\org.apache.commons.math.DimensionMismatchException,16,3,0,15,0.833333333,2,0,0,0,3,0,0,0,0,0,0.1875,0,0,0,19,16,0,3,1,1,0,0.1875,0.0625,0.0625,0
math\DuplicateSampleAbscissaException.java\org.apache.commons.math.DuplicateSampleAbscissaException,10,2,0,14,2,2,0,0,0,3,0,0,0,0,0,0.2,0,0,0,10,10,0,0,1,1,0,0,0.1,0.1,0
math\FunctionEvaluationException.java\org.apache.commons.math.FunctionEvaluationException,45,9,1,22,0.5625,2,1,2,1,0,0.020833333,0,0,0.2,0.5,0,0.013333333,0,0,36,45,12,3,20,32,0.266666667,0.066666667,0.444444444,0.711111111,0
math\MathConfigurationException.java\org.apache.commons.math.MathConfigurationException,15,4,0,16,1.333333333,2,0,2,0,5,0.133333333,0,0,0.4,0,0.294117647,0.057142857,0,0,21,15,0,6,4,4,0,0.4,0.266666667,0.266666667,0
math\MathException.java\org.apache.commons.math.MathException,64,17,0,12,0.727272727,1,13,4,0,3,0.078849722,0,1,0.222222222,0,0.230769231,0.045649839,0,0.071428571,103,64,5,44,15,20,0.078125,0.6875,0.234375,0.3125,0
math\MaxIterationsExceededException.java\org.apache.commons.math.MaxIterationsExceededException,16,3,0,19,0.75,3,0,0,0,5,0,0,1,0,0,0.25,0,0,1,17,16,0,1,6,6,0,0.0625,0.375,0.375,0
math\MessagesResources_fr.java\org.apache.commons.math.MessagesResources_fr,524,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,81,524,443,0,30,473,0.845419847,0,0.057251908,0.902671756,0
math\complex\Complex.java\org.apache.commons.math.complex.Complex,303,76,3,42,0.806060606,0,0,12,2,9,0.101978973,0,0,0.155844156,0.5,0.209302326,0.056464868,0,0,246,303,58,1,8,66,0.191419142,0.00330033,0.02640264,0.217821782,1
math\complex\ComplexFormat.java\org.apache.commons.math.complex.ComplexFormat,156,35,2,36,0.96,2,0,16,1,5,0.01037037,1,0,0.444444444,0.333333333,0.135135135,0.005291005,0.333333333,0,231,156,6,81,17,23,0.038461538,0.519230769,0.108974359,0.147435897,0
math\complex\ComplexUtils.java\org.apache.commons.math.complex.ComplexUtils,12,3,2,6,,0,0,14,1,39,0,0,0,3.5,0.333333333,5.571428571,0,0,0,54,12,0,42,2,2,0,3.5,0.166666667,0.166666667,0
