name,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
math3\analysis\FunctionUtils.java\org.apache.commons.math3.analysis.FunctionUtils,432,25,13,31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,432,0,0,0,0,0,0,0,0,0
math3\analysis\differentiation\DSCompiler.java\org.apache.commons.math3.analysis.differentiation.DSCompiler,829,180,5,103,0.894021739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831,829,0,2,4,4,0,0.002412545,0.00482509,0.00482509,0
math3\analysis\differentiation\DerivativeStructure.java\org.apache.commons.math3.analysis.differentiation.DerivativeStructure,412,83,6,178,0.474747475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,412,0,0,0,0,0,0,0,0,0
math3\analysis\differentiation\FiniteDifferencesDifferentiator.java\org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator,150,15,11,39,0.928571429,0,0,3,1,6,0.095238095,0,0,0.1875,0.083333333,0.15,0.049382716,0,0,132,150,24,6,14,38,0.16,0.04,0.093333333,0.253333333,0
math3\analysis\differentiation\GradientFunction.java\org.apache.commons.math3.analysis.differentiation.GradientFunction,22,4,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0
math3\analysis\differentiation\JacobianFunction.java\org.apache.commons.math3.analysis.differentiation.JacobianFunction,24,5,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0
math3\analysis\function\Abs.java\org.apache.commons.math3.analysis.function.Abs,5,1,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Acos.java\org.apache.commons.math3.analysis.function.Acos,12,3,3,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Acosh.java\org.apache.commons.math3.analysis.function.Acosh,12,3,3,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Add.java\org.apache.commons.math3.analysis.function.Add,5,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Asin.java\org.apache.commons.math3.analysis.function.Asin,12,3,3,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Asinh.java\org.apache.commons.math3.analysis.function.Asinh,12,3,3,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Atan.java\org.apache.commons.math3.analysis.function.Atan,12,3,3,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Atan2.java\org.apache.commons.math3.analysis.function.Atan2,5,1,1,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Atanh.java\org.apache.commons.math3.analysis.function.Atanh,12,3,3,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Cbrt.java\org.apache.commons.math3.analysis.function.Cbrt,12,3,3,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Ceil.java\org.apache.commons.math3.analysis.function.Ceil,5,1,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Constant.java\org.apache.commons.math3.analysis.function.Constant,16,4,1,17,0.333333333,0,0,0,1,1,0,0,0,0,0.5,0.055555556,0,0,0,16,16,0,0,2,2,0,0,0.125,0.125,0
math3\analysis\function\Cos.java\org.apache.commons.math3.analysis.function.Cos,12,3,3,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Cosh.java\org.apache.commons.math3.analysis.function.Cosh,12,3,3,13,,0,0,0,0,1,0,0,0,0,0,0.071428571,0,0,0,12,12,0,0,2,2,0,0,0.166666667,0.166666667,0
math3\analysis\function\Divide.java\org.apache.commons.math3.analysis.function.Divide,5,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Exp.java\org.apache.commons.math3.analysis.function.Exp,12,3,3,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Expm1.java\org.apache.commons.math3.analysis.function.Expm1,12,3,3,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Floor.java\org.apache.commons.math3.analysis.function.Floor,5,1,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Gaussian.java\org.apache.commons.math3.analysis.function.Gaussian,108,14,5,28,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,0,0
math3\analysis\function\HarmonicOscillator.java\org.apache.commons.math3.analysis.function.HarmonicOscillator,68,7,3,31,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,0,0,0,0,0,0,0,0,0
math3\analysis\function\Identity.java\org.apache.commons.math3.analysis.function.Identity,12,3,2,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,2,2,0,0,0.166666667,0.166666667,0
math3\analysis\function\Inverse.java\org.apache.commons.math3.analysis.function.Inverse,12,3,2,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Log.java\org.apache.commons.math3.analysis.function.Log,12,3,3,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Log10.java\org.apache.commons.math3.analysis.function.Log10,12,3,3,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Log1p.java\org.apache.commons.math3.analysis.function.Log1p,12,3,3,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Logistic.java\org.apache.commons.math3.analysis.function.Logistic,90,6,4,33,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0,0,0,0,0
math3\analysis\function\Logit.java\org.apache.commons.math3.analysis.function.Logit,83,12,4,25,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,0,0,0,0,0,0,0,0,0
math3\analysis\function\Max.java\org.apache.commons.math3.analysis.function.Max,5,1,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Min.java\org.apache.commons.math3.analysis.function.Min,5,1,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Minus.java\org.apache.commons.math3.analysis.function.Minus,12,3,2,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,2,2,0,0,0.166666667,0.166666667,0
