name,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
math3\analysis\FunctionUtils.java\org.apache.commons.math3.analysis.FunctionUtils,433,25,13,31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,433,1,0,3,4,0.002309469,0,0.006928406,0.009237875,0
math3\analysis\differentiation\DSCompiler.java\org.apache.commons.math3.analysis.differentiation.DSCompiler,839,181,8,104,0.894021739,0,0,1,3,1,0,0,0,0.005494505,0.333333333,0.00952381,0,0,0,829,839,10,0,10,20,0.011918951,0,0.011918951,0.023837902,1
math3\analysis\differentiation\DerivativeStructure.java\org.apache.commons.math3.analysis.differentiation.DerivativeStructure,557,105,9,199,0.55,0,0,22,3,21,0.075252525,0,0,0.20754717,0.3,0.105,0.048550016,0,0,412,557,145,0,23,168,0.26032316,0,0.041292639,0.301615799,0
math3\analysis\differentiation\FiniteDifferencesDifferentiator.java\org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator,150,15,11,39,0.928571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,0,0,0,0,0,0,0,0,0
math3\analysis\differentiation\GradientFunction.java\org.apache.commons.math3.analysis.differentiation.GradientFunction,21,4,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,0,1,1,1,0,0.047619048,0.047619048,0.047619048,0
math3\analysis\differentiation\JacobianFunction.java\org.apache.commons.math3.analysis.differentiation.JacobianFunction,23,5,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,0,1,1,1,0,0.043478261,0.043478261,0.043478261,0
math3\analysis\function\Abs.java\org.apache.commons.math3.analysis.function.Abs,5,1,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Acos.java\org.apache.commons.math3.analysis.function.Acos,12,3,3,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Acosh.java\org.apache.commons.math3.analysis.function.Acosh,12,3,3,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Add.java\org.apache.commons.math3.analysis.function.Add,5,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Asin.java\org.apache.commons.math3.analysis.function.Asin,12,3,3,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Asinh.java\org.apache.commons.math3.analysis.function.Asinh,12,3,3,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Atan.java\org.apache.commons.math3.analysis.function.Atan,12,3,3,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Atan2.java\org.apache.commons.math3.analysis.function.Atan2,5,1,1,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Atanh.java\org.apache.commons.math3.analysis.function.Atanh,12,3,3,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Cbrt.java\org.apache.commons.math3.analysis.function.Cbrt,12,3,3,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Ceil.java\org.apache.commons.math3.analysis.function.Ceil,5,1,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Constant.java\org.apache.commons.math3.analysis.function.Constant,16,4,1,17,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0
math3\analysis\function\Cos.java\org.apache.commons.math3.analysis.function.Cos,12,3,3,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Cosh.java\org.apache.commons.math3.analysis.function.Cosh,12,3,3,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Divide.java\org.apache.commons.math3.analysis.function.Divide,5,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Exp.java\org.apache.commons.math3.analysis.function.Exp,12,3,3,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Expm1.java\org.apache.commons.math3.analysis.function.Expm1,12,3,3,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Floor.java\org.apache.commons.math3.analysis.function.Floor,5,1,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Gaussian.java\org.apache.commons.math3.analysis.function.Gaussian,109,14,6,28,0.75,0,0,0,1,0,0,0,0,0,0.142857143,0,0,0,0,108,109,1,0,1,2,0.009174312,0,0.009174312,0.018348624,0
math3\analysis\function\HarmonicOscillator.java\org.apache.commons.math3.analysis.function.HarmonicOscillator,69,7,4,31,0.5,0,0,0,1,0,0,0,0,0,0.2,0,0,0,0,68,69,1,0,1,2,0.014492754,0,0.014492754,0.028985507,0
math3\analysis\function\Identity.java\org.apache.commons.math3.analysis.function.Identity,12,3,2,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Inverse.java\org.apache.commons.math3.analysis.function.Inverse,12,3,2,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Log.java\org.apache.commons.math3.analysis.function.Log,12,3,3,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Log10.java\org.apache.commons.math3.analysis.function.Log10,12,3,3,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Log1p.java\org.apache.commons.math3.analysis.function.Log1p,12,3,3,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Logistic.java\org.apache.commons.math3.analysis.function.Logistic,90,6,4,33,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0,0,0,0,0
math3\analysis\function\Logit.java\org.apache.commons.math3.analysis.function.Logit,83,12,4,25,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,0,0,0,0,0,0,0,0,0
math3\analysis\function\Max.java\org.apache.commons.math3.analysis.function.Max,5,1,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Min.java\org.apache.commons.math3.analysis.function.Min,5,1,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Minus.java\org.apache.commons.math3.analysis.function.Minus,12,3,2,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Multiply.java\org.apache.commons.math3.analysis.function.Multiply,5,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Pow.java\org.apache.commons.math3.analysis.function.Pow,5,1,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Power.java\org.apache.commons.math3.analysis.function.Power,16,4,3,13,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0
math3\analysis\function\Rint.java\org.apache.commons.math3.analysis.function.Rint,5,1,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Sigmoid.java\org.apache.commons.math3.analysis.function.Sigmoid,78,10,4,23,0.6,0,0,0,1,0,0,0,0,0,0.2,0,0,0,0,77,78,1,0,1,2,0.012820513,0,0.012820513,0.025641026,0
math3\analysis\function\Signum.java\org.apache.commons.math3.analysis.function.Signum,5,1,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Sin.java\org.apache.commons.math3.analysis.function.Sin,12,3,3,19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Sinc.java\org.apache.commons.math3.analysis.function.Sinc,80,18,4,32,0.625,0,0,0,1,0,0,0,0,0,0.2,0,0,0,0,79,80,1,0,1,2,0.0125,0,0.0125,0.025,0
math3\analysis\function\Sinh.java\org.apache.commons.math3.analysis.function.Sinh,12,3,3,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Sqrt.java\org.apache.commons.math3.analysis.function.Sqrt,12,3,3,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\StepFunction.java\org.apache.commons.math3.analysis.function.StepFunction,35,7,5,22,0,0,0,0,1,0,0,0,0,0,0.166666667,0,0,0,0,36,35,0,1,2,2,0,0.028571429,0.057142857,0.057142857,0
math3\analysis\function\Subtract.java\org.apache.commons.math3.analysis.function.Subtract,5,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Tan.java\org.apache.commons.math3.analysis.function.Tan,12,3,3,18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Tanh.java\org.apache.commons.math3.analysis.function.Tanh,12,3,3,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
math3\analysis\function\Ulp.java\org.apache.commons.math3.analysis.function.Ulp,5,1,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\integration\BaseAbstractUnivariateIntegrator.java\org.apache.commons.math3.analysis.integration.BaseAbstractUnivariateIntegrator,98,18,10,41,0.928571429,0,5,0,0,0,0,0,0,0,0,0,0,0,0,98,98,0,0,3,3,0,0,0.030612245,0.030612245,0
math3\analysis\integration\IterativeLegendreGaussIntegrator.java\org.apache.commons.math3.analysis.integration.IterativeLegendreGaussIntegrator,73,9,11,73,0.75,1,0,1,2,1,0,0,0,0.1,0.166666667,0.013513514,0,0,0,67,73,6,0,5,11,0.082191781,0,0.068493151,0.150684932,0
math3\analysis\integration\LegendreGaussIntegrator.java\org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator,126,13,8,53,0.925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,124,126,2,0,4,6,0.015873016,0,0.031746032,0.047619048,0
math3\analysis\integration\RombergIntegrator.java\org.apache.commons.math3.analysis.integration.RombergIntegrator,59,10,8,49,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,0,0,0,0,0,0,0,0,0
math3\analysis\integration\SimpsonIntegrator.java\org.apache.commons.math3.analysis.integration.SimpsonIntegrator,51,10,8,49,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,0,0,0,0,0,0,0,0,0
math3\analysis\integration\TrapezoidIntegrator.java\org.apache.commons.math3.analysis.integration.TrapezoidIntegrator,71,12,8,48,0.75,1,0,0,1,0,0,0,0,0,0.111111111,0,0,0,0,71,71,0,0,1,1,0,0,0.014084507,0.014084507,0
math3\analysis\integration\gauss\BaseRuleFactory.java\org.apache.commons.math3.analysis.integration.gauss.BaseRuleFactory,51,10,4,17,0.875,0,2,1,1,2,0,0,0,0.090909091,0.2,0.111111111,0,0,0,46,51,5,0,4,9,0.098039216,0,0.078431373,0.176470588,0
math3\analysis\integration\gauss\GaussIntegrator.java\org.apache.commons.math3.analysis.integration.gauss.GaussIntegrator,35,6,6,17,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,1,1,0,0,0.028571429,0.028571429,0
math3\analysis\integration\gauss\GaussIntegratorFactory.java\org.apache.commons.math3.analysis.integration.gauss.GaussIntegratorFactory,43,7,7,29,0.8,0,0,0,2,2,0,0,0,0,0.25,0.066666667,0,0,0,39,43,4,0,4,8,0.093023256,0,0.093023256,0.186046512,0
math3\analysis\integration\gauss\LegendreHighPrecisionRuleFactory.java\org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionRuleFactory,119,14,2,20,0.5,1,0,1,1,0,0,0,0,0.066666667,0.333333333,0,0,0,0,122,119,0,3,2,2,0,0.025210084,0.016806723,0.016806723,0
math3\analysis\integration\gauss\LegendreRuleFactory.java\org.apache.commons.math3.analysis.integration.gauss.LegendreRuleFactory,76,12,2,18,,1,0,1,1,0,0,0,0,0.076923077,0.333333333,0,0,0,0,80,76,0,4,1,1,0,0.052631579,0.013157895,0.013157895,0
math3\analysis\interpolation\BicubicSplineInterpolatingFunction.java\org.apache.commons.math3.analysis.interpolation.BicubicSplineFunction,135,22,1,16,0.839285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,136,0,0,0,0,0,0,0,0,0
math3\analysis\interpolation\BicubicSplineInterpolatingFunction.java\org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolatingFunction,174,34,6,37,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,174,0,0,0,0,0,0,0,0,0
math3\analysis\interpolation\BicubicSplineInterpolator.java\org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolator,73,18,9,32,,0,1,0,1,0,0,0,0,0,0.1,0,0,0,0,74,73,0,1,2,2,0,0.01369863,0.02739726,0.02739726,0
math3\analysis\interpolation\DividedDifferenceInterpolator.java\org.apache.commons.math3.analysis.interpolation.DividedDifferenceInterpolator,32,4,5,21,2,0,0,0,0,3,0,0,0,0,0,0.136363636,0,0,0,32,32,0,0,0,0,0,0,0,0,0
math3\analysis\interpolation\HermiteInterpolator.java\org.apache.commons.math3.analysis.interpolation.HermiteInterpolator,95,21,8,38,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,0,0,0,0,0,0,0,0,0
math3\analysis\interpolation\LinearInterpolator.java\org.apache.commons.math3.analysis.interpolation.LinearInterpolator,28,5,7,21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0
math3\analysis\interpolation\LoessInterpolator.java\org.apache.commons.math3.analysis.interpolation.LoessInterpolator,188,33,13,39,0.904761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,188,0,0,0,0,0,0,0,0,0
math3\analysis\interpolation\MicrosphereInterpolatingFunction.java\org.apache.commons.math3.analysis.interpolation.MicrosphereInterpolatingFunction,105,17,8,37,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,105,0,0,1,1,0,0,0.00952381,0.00952381,0
