name,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
time\Chronology.java\org.joda.time.Chronology,55,49,5,49,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55,55,0,0,0,0,0,0,0,0,0
time\DateMidnight.java\org.joda.time.DateMidnight,359,89,17,433,1.015151515,3,0,0,0,31,0,0,0,0,0,0.071428571,0,0,0,359,359,0,0,0,0,0,0,0,0,0
time\DateTime.java\org.joda.time.DateTime,609,138,20,468,1.009615385,3,0,0,0,31,0,0,0,0,0,0.066098081,0,0,0,592,609,17,0,2,19,0.027914614,0,0.003284072,0.031198686,0
time\DateTimeComparator.java\org.joda.time.DateTimeComparator,96,27,5,26,0.805555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,0,0,0,0,0,0,0,0,0
time\DateTimeConstants.java\org.joda.time.DateTimeConstants,44,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,0,0
time\DateTimeField.java\org.joda.time.DateTimeField,52,50,3,50,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,0,0
time\DateTimeFieldType.java\org.joda.time.DateTimeFieldType,297,30,4,31,1.016522989,0,1,0,0,0,0,0,0,0,0,0,0,0,0,297,297,0,0,0,0,0,0,0,0,0
time\DateTimeUtils.java\org.joda.time.DateTimeUtils,197,46,17,217,0.945652174,0,0,0,0,1,0,0,0,0,0,0.004587156,0,0,0,197,197,0,0,0,0,0,0,0,0,0
time\DateTimeZone.java\org.joda.time.DateTimeZone,550,131,18,310,0.963043478,0,4,0,1,3,0,0,0,0,0.052631579,0.009646302,0,0,0,552,550,0,2,6,6,0,0.003636364,0.010909091,0.010909091,2
time\Days.java\org.joda.time.Days,153,45,19,301,0.993333333,1,0,0,0,1,0,0,0,0,0,0.003311258,0,0,0,153,153,0,0,0,0,0,0,0,0,0
time\Duration.java\org.joda.time.Duration,121,36,7,291,0.94,2,0,0,0,1,0,0,0,0,0,0.003424658,0,0,0,121,121,0,0,0,0,0,0,0,0,0
time\DurationField.java\org.joda.time.DurationField,32,22,1,20,,0,4,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,0,0,0
time\DurationFieldType.java\org.joda.time.DurationFieldType,162,17,3,18,1.028846154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,162,162,0,0,0,0,0,0,0,0,0
time\Hours.java\org.joda.time.Hours,156,46,19,301,0.993846154,1,0,0,0,1,0,0,0,0,0,0.003311258,0,0,0,156,156,0,0,0,0,0,0,0,0,0
time\IllegalFieldValueException.java\org.joda.time.IllegalFieldValueException,166,27,2,21,0.641975309,1,0,0,0,0,0,0,0,0,0,0,0,0,0,166,166,0,0,0,0,0,0,0,0,0
time\Instant.java\org.joda.time.Instant,80,23,10,264,0.921052632,1,0,0,0,55,0,0,0,0,0,0.20754717,0,0,0,80,80,0,0,0,0,0,0,0,0,0
time\Interval.java\org.joda.time.Interval,137,35,7,286,1.043478261,2,0,0,0,32,0,0,0,0,0,0.111498258,0,0,0,137,137,0,0,0,0,0,0,0,0,0
time\JodaTimePermission.java\org.joda.time.JodaTimePermission,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0
time\LocalDate.java\org.joda.time.LocalDate,633,156,22,428,0.976315789,2,0,2,0,17,0,0,0,0.012738854,0,0.03962704,0,0,0,622,631,9,0,1,10,0.014263074,0,0.001584786,0.015847861,0
time\LocalDateTime.java\org.joda.time.LocalDateTime,722,177,19,439,0.978021978,2,0,4,0,30,0.000382226,0,0,0.02247191,0,0.068181818,0.000193237,0,0,698,720,22,0,11,33,0.030555556,0,0.015277778,0.045833333,0
time\LocalTime.java\org.joda.time.LocalTime,503,117,16,390,0.973856209,2,0,0,0,20,0,0,0,0,0,0.051150895,0,0,0,501,501,0,0,0,0,0,0,0,0,0
time\Minutes.java\org.joda.time.Minutes,141,41,19,301,0.99,1,0,0,0,1,0,0,0,0,0,0.003311258,0,0,0,141,141,0,0,0,0,0,0,0,0,0
time\MonthDay.java\org.joda.time.MonthDay,261,59,15,396,0.972093023,2,0,0,0,13,0,0,0,0,0,0.032745592,0,0,0,261,261,0,0,0,0,0,0,0,0,0
time\Months.java\org.joda.time.Months,148,44,13,284,0.99380805,1,0,0,0,1,0,0,0,0,0,0.003508772,0,0,0,148,148,0,0,0,0,0,0,0,0,0
time\MutableDateTime.java\org.joda.time.MutableDateTime,469,108,15,444,0.992063492,3,0,0,0,31,0,0,0,0,0,0.069662921,0,0,0,469,469,0,0,0,0,0,0,0,0,0
time\MutableInterval.java\org.joda.time.MutableInterval,116,32,6,287,1.038461538,2,0,0,0,32,0,0,0,0,0,0.111111111,0,0,0,116,116,0,0,0,0,0,0,0,0,0
time\MutablePeriod.java\org.joda.time.MutablePeriod,258,77,11,383,1.014084507,2,0,0,0,1,0,0,0,0,0,0.002604167,0,0,0,257,257,0,0,0,0,0,0,0,0,0
time\Partial.java\org.joda.time.Partial,398,84,13,334,0.76875,1,0,0,0,1,0,0,0,0,0,0.002985075,0,0,0,398,398,0,0,0,0,0,0,0,0,0
time\Period.java\org.joda.time.Period,463,113,19,443,1.005882353,2,0,0,0,1,0,0,0,0,0,0.002252252,0,0,0,463,463,0,0,0,0,0,0,0,0,0
time\PeriodType.java\org.joda.time.PeriodType,464,89,3,48,0.997368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,447,0,0,0,0,0,0,0,0,0
time\Seconds.java\org.joda.time.Seconds,141,41,19,301,0.99,1,0,0,0,1,0,0,0,0,0,0.003311258,0,0,0,141,141,0,0,0,0,0,0,0,0,0
